user_id,income_mean,income_std,expenses_mean,expenses_std,savings_mean,savings_std,savings_rate_mean,income_delta_6m,expenses_delta_6m,savings_delta_6m,debt_level,shock_type,will_reach_goal
1,3431.84,215.3719698568037,2796.3050000000003,105.59766507835293,635.5333333333333,169.52318114838062,0.1836064661574773,-181.78999999999996,-230.01999999999998,48.219999999999914,moderate,none,1
2,2386.5866666666666,92.60226491110626,1699.0900000000001,94.18699506832142,687.4983333333333,93.67100478091746,0.2878124094365459,175.32000000000016,74.28999999999996,101.02999999999997,moderate,none,1
3,3033.8116666666665,777.2822408473427,2346.766666666667,641.6667940190349,687.0433333333334,151.2298668473482,0.2292201824305926,-1146.62,-981.06,-165.58000000000004,moderate,income_drop,1
4,4026.6749999999997,220.71000663766907,2830.661666666667,288.7230499573365,1196.0133333333333,183.42195982669762,0.2978351828424541,-27.920000000000073,354.8300000000004,-382.75,none,none,1
5,1506.8616666666667,70.32890541354007,1069.8866666666665,66.33186554489981,436.97333333333336,51.24507573090967,0.2899184614908959,16.590000000000146,86.61999999999989,-70.03000000000003,moderate,none,1
6,1926.085,60.7946470505422,1576.3216666666667,60.0835752653474,349.7633333333333,54.60248004135587,0.18141450490666408,36.09999999999991,105.07999999999993,-68.97000000000003,high,none,1
7,3477.9216666666666,211.9838997109607,2868.345,142.54085894928522,609.5766666666667,210.42629737432216,0.17338584712593183,179.36000000000013,-132.0699999999997,311.43999999999994,moderate,none,0
8,2907.8350000000005,110.25841605065797,2088.525,135.60649671015025,819.31,171.38540311240044,0.2809521493029438,-91.55000000000018,264.77,-356.31999999999994,moderate,debt_spike,1
9,3290.36,168.34590093019787,2856.581666666667,102.31726001348291,433.78,162.93490908948888,0.13039224424260745,290.25,36.26000000000022,253.99999999999997,none,none,1
10,2408.6683333333335,92.77829906107713,1764.615,42.640751283250076,644.0533333333333,93.86488367151298,0.2666147767637927,-23.549999999999727,32.919999999999845,-56.47000000000003,moderate,debt_spike,1
11,3824.058333333333,275.28798981551415,3027.846666666667,175.54530135172124,796.21,361.4953403849073,0.2041855868756333,-71.90999999999985,-202.28999999999996,130.38,high,none,1
12,4006.84,185.9325683144295,3644.6066666666666,102.1417357727322,362.23499999999996,224.45038193329054,0.0886151535475771,-408.7199999999998,-1.7100000000000364,-407.01,none,rent_spike,0
13,3372.5483333333336,237.46423810053312,2739.14,272.7664098088326,633.41,110.31594263749915,0.1887557539770264,-618.23,-753.5,135.2700000000001,none,none,1
14,4238.001666666666,149.5014282763435,3684.2383333333332,356.86806443932016,553.7616666666667,217.84161819236166,0.13207480339407116,140.53999999999996,171.72000000000025,-31.17999999999995,moderate,expense_volatility,1
15,3566.6083333333336,219.78559920219212,3142.1083333333336,302.68468744993794,424.4983333333333,103.77071444616091,0.1204362846790553,-217.89000000000033,-290.9000000000001,73.00999999999999,moderate,none,1
16,2501.983333333333,93.4441331848428,1963.845,91.13476981920786,538.1383333333333,43.56507565317275,0.21519213239556556,-3.299999999999727,-75.83999999999992,72.54000000000002,moderate,none,1
17,3521.85,156.3888776096305,3025.525,154.22637164246592,496.325,43.342458513563805,0.14107256957871386,248.3699999999999,333.8300000000004,-85.46000000000004,none,none,1
18,2479.2083333333335,224.2236672982286,1771.868333333333,173.64376227399202,707.34,98.39187852663447,0.28536824941881084,321.3000000000002,248.98000000000002,72.31999999999994,none,none,1
19,4144.695,193.42454112650756,2958.463333333333,185.60337892039215,1186.2333333333333,182.80513971621986,0.2858390125831522,234.0600000000004,252.79999999999973,-18.73999999999978,moderate,none,1
20,3252.861666666666,166.0646972016227,2358.645,227.48942751257698,894.2133333333333,121.94588728885722,0.2758068472264719,282.9500000000003,585.8899999999999,-302.93000000000006,moderate,rent_spike,1
21,3138.3333333333335,155.56341712197843,2699.903333333333,182.98133485868618,438.43,50.65864269796416,0.14030243100698817,-459.17999999999984,-537.94,78.75999999999999,moderate,expense_volatility,0
22,2513.91,118.5952420630776,2209.4366666666665,160.35038867014535,304.47499999999997,82.80822102907416,0.1216803252410093,335.75,350.56999999999994,-14.810000000000002,moderate,income_drop,0
23,4350.68,216.90101060161084,3734.9516666666664,235.79016420679358,615.7283333333334,121.63874504723674,0.1416697796414859,233.28999999999996,290.98,-57.690000000000055,moderate,none,1
24,3134.6800000000003,153.22727172406348,2828.77,164.40357854986004,305.9116666666667,88.62607120180081,0.0976099117231931,107.13999999999987,-56.11999999999989,163.25,moderate,none,0
25,2785.713333333333,185.30603084267565,1986.7216666666666,89.14653429419835,798.9916666666667,120.51190836040503,0.2857132601721349,75.10999999999967,128.63999999999987,-53.530000000000086,moderate,debt_spike,1
26,2920.693333333333,148.34330502812284,2431.4533333333334,197.4925357239274,489.24499999999995,121.07232165115194,0.16794833954991772,-25.230000000000018,-217.88999999999987,192.66999999999996,moderate,debt_spike,1
